handle,tick_number,neuroticism,tick_delta
briskpulse,10,35.42,
briskpulse,20,62.5,27.1
briskpulse,30,68.75,6.3
driftmarkcount,10,61.46,
driftmarkcount,20,65.62,4.2
gentletidefollow,10,40.62,
gentletidefollow,20,58.33,17.7
gentletidefollow,30,59.38,1.1
inkshard,10,62.5,
inkshard,20,59.38,-3.1
inkshard,30,78.12,18.7
quietkindle,10,40.62,
quietkindle,20,56.25,15.6
quietkindle,30,66.67,10.4
silentframe,10,54.17,
silentframe,20,54.17,0
silentframe,30,64.58,10.4
softburnwatch,10,48.96,
softburnwatch,20,56.25,7.3
softburnwatch,30,66.67,10.4
thinbladewatch,10,62.5,
thinbladewatch,20,62.5,0
thinbladewatch,30,62.5,0
warmloophole,10,28.12,
warmloophole,20,41.67,13.6
warmloophole,30,69.79,28.1
whisperthruvoid,10,48.96,
whisperthruvoid,20,60.42,11.5
whisperthruvoid,30,67.71,7.3
